Picture,Angle,Entropy,Homogeneity,Contrast,ASM,Correlation
../img/erode/train/E1.png,0,-0.110681,0.881818,0.236364,0.510579,0.00449846
../img/erode/train/E1.png,90,-0.0758241,0.909091,0.181818,0.510083,0.0101401
../img/erode/train/E1.png,45,-0.120225,0.875,0.25,0.49855,0.00389476
../img/erode/train/E1.png,135,-0.127437,0.87,0.26,0.4998,0.00291132
../img/erode/train/E2.png,0,-0.297087,0.708182,0.627273,0.145083,0.0298633
../img/erode/train/E2.png,90,-0.0879841,0.877273,0.245455,0.217479,0.0542216
../img/erode/train/E2.png,45,-0.161611,0.81,0.38,0.1732,0.044733
../img/erode/train/E2.png,135,-0.460234,0.615,1.01,0.13175,0.00956818
../img/erode/train/E3.png,0,-0.0897701,0.877273,0.245455,0.254835,0.0489613
../img/erode/train/E3.png,90,-0.0823038,0.886364,0.227273,0.265909,0.050034
../img/erode/train/E3.png,45,-0.207345,0.779,0.49,0.19455,0.0251348
../img/erode/train/E3.png,135,-0.0392469,0.935,0.13,0.32375,0.0658083
../img/erode/train/E4.png,0,-0.292386,0.71,0.645455,0.15876,0.0348337
../img/erode/train/E4.png,90,-0.0924084,0.872727,0.254545,0.218347,0.0600179
../img/erode/train/E4.png,45,-0.451505,0.62,1,0.1427,0.0160656
../img/erode/train/E4.png,135,-0.138101,0.83,0.34,0.1928,0.0534929
../img/erode/train/E5.png,0,-0.235324,0.751818,0.518182,0.154959,0.0446026
../img/erode/train/E5.png,90,-0.120864,0.845455,0.309091,0.187273,0.0604161
../img/erode/train/E5.png,45,-0.0854859,0.88,0.24,0.2111,0.0669391
../img/erode/train/E5.png,135,-0.457372,0.613,0.99,0.1405,0.0190161
../img/erode/train/E6.png,0,-0.22748,0.726364,0.590909,0.114504,0.0740127
../img/erode/train/E6.png,90,-0.118153,0.831818,0.336364,0.149793,0.0927253
../img/erode/train/E6.png,45,-0.0959696,0.855,0.29,0.16245,0.102586
../img/erode/train/E6.png,135,-0.420637,0.583,1.05,0.1004,0.0457598
../img/erode/train/E7.png,0,-0.0271554,0.95,0.1,0.408554,0.0580769
../img/erode/train/E7.png,90,-0.0370879,0.936364,0.127273,0.401488,0.0506262
../img/erode/train/E7.png,45,-0.0624028,0.905,0.19,0.36355,0.0411756
../img/erode/train/E7.png,135,-0.0350783,0.94,0.12,0.4034,0.0514287
../img/erode/train/R1.png,0,-0.233207,0.722727,0.554545,0.132521,0.0890331
../img/erode/train/R1.png,90,-0.0158798,0.968182,0.0636364,0.266736,0.15455
../img/erode/train/R1.png,45,-0.213731,0.74,0.52,0.1359,0.0903067
../img/erode/train/R1.png,135,-0.236539,0.72,0.56,0.1335,0.0873764
../img/erode/train/R2.png,0,-0.0750095,0.890909,0.218182,0.292066,0.115848
../img/erode/train/R2.png,90,-0.0126997,0.972727,0.0545455,0.363884,0.157219
../img/erode/train/R2.png,45,-0.0582342,0.91,0.18,0.3104,0.125366
../img/erode/train/R2.png,135,-0.0902132,0.875,0.25,0.28295,0.111109
../img/erode/train/R3.png,0,-0.0929998,0.872727,0.254545,0.291901,0.115591
../img/erode/train/R3.png,90,-0.00555357,0.986364,0.0272727,0.376653,0.166333
../img/erode/train/R3.png,45,-0.0809412,0.885,0.23,0.30635,0.123432
../img/erode/train/R3.png,135,-0.101274,0.865,0.27,0.28795,0.113359
../img/erode/train/R4.png,0,-0.152228,0.818182,0.363636,0.177355,0.0403832
../img/erode/train/R4.png,90,-0.0181485,0.963636,0.0727273,0.309256,0.0760601
../img/erode/train/R4.png,45,-0.173718,0.8,0.4,0.1674,0.03951
../img/erode/train/R4.png,135,-0.150207,0.82,0.36,0.1754,0.0424925
../img/erode/train/R5.png,0,-0.177586,0.790909,0.418182,0.182314,0.0668926
../img/erode/train/R5.png,90,-0.0244984,0.95,0.1,0.288719,0.117472
../img/erode/train/R5.png,45,-0.23073,0.75,0.5,0.1736,0.0608392
../img/erode/train/R5.png,135,-0.128583,0.835,0.33,0.19815,0.072252
../img/erode/train/R6.png,0,-0.0333808,0.95,0.1,0.421942,0.0372838
../img/erode/train/R6.png,90,-0.00168549,0.995455,0.00909091,0.500289,0.0588803
../img/erode/train/R6.png,45,-0.029022,0.955,0.09,0.42935,0.0390091
../img/erode/train/R6.png,135,-0.0379255,0.945,0.11,0.41335,0.0353674
